Date,District,Temperature,Humidity,WindSpeed,Pressure,Rainfall,HeatIndex,RiskCategory
2024-07-01,Angul,31.2,73,16.2,1004,0,39.1,Caution
2024-07-01,Balangir,32.6,79,19.2,1004,38.8,46.1,Danger
2024-07-01,Baleshwar,28.1,83,18.5,1002,0,32.8,Normal
2024-07-01,Bargarh,29.9,78,20.2,1001,7.8,36.8,Caution
2024-07-01,Bhadrak,28.8,85,18.5,1000,0,35.3,Caution
2024-07-01,Boudh,28.1,87,20.8,1004,5.2,33.6,Normal
2024-07-01,Cuttack,28.2,82,16.5,1001,0,32.9,Normal
2024-07-01,Debagarh,29.8,85,16.4,1002,0,38.5,Caution
2024-07-01,Dhenkanal,31,84,21.3,1000,15,42.3,Extreme Caution
2024-07-01,Gajapati,32.4,91,20.6,1001,25.3,51.3,Danger
2024-07-01,Ganjam,26.9,100,16.9,1000,20.3,32.6,Normal
2024-07-01,Jagatsinghapur,32,98,16,1002,7.6,53.1,Danger
2024-07-01,Jajapur,29.6,80,21.7,1002,0,36.5,Caution
2024-07-01,Jharsuguda,35.5,86,16.9,1002,18.7,63.3,Extreme Danger
2024-07-01,Kalahandi,29.1,82,16.4,1004,31.9,35.5,Caution
2024-07-01,Kandhamal,27.1,91,19,1000,27.4,31.5,Normal
2024-07-01,Kendrapara,28.8,87,14.4,1001,33,35.8,Caution
2024-07-01,Kendujhar,27.4,87,21.9,1000,40.4,31.6,Normal
2024-07-01,Khordha,30.5,86,15.8,1000,33.7,41.2,Extreme Caution
2024-07-01,Koraput,24.2,97,16.3,1003,36.9,25.2,Normal
2024-07-01,Malkangiri,31.4,86,14.7,1000,30.2,44.6,Extreme Caution
2024-07-01,Mayurbhanj,27.2,92,18.5,1001,10.9,32,Normal
2024-07-01,Nabarangapur,27.4,90,14.9,1000,0,32.2,Normal
2024-07-01,Nayagarh,27.7,92,15.9,1002,11.2,33.5,Normal
2024-07-01,Nuapada,30,81,17.3,1000,19.4,38,Caution
2024-07-01,Puri,29,89,20.3,1002,25.8,37,Caution
2024-07-01,Rayagada,29.4,81,17.2,1003,17,36.1,Caution
2024-07-01,Sambalpur,32.2,73,21.8,1000,0,42.2,Extreme Caution
2024-07-01,Subarnapur,30.8,92,15.3,1001,18.3,44.7,Extreme Caution
2024-07-01,Sundargarh,29.9,87,16.8,1000,0,39.4,Caution
2024-07-02,Angul,33.8,78,18.3,1001,18,50.3,Danger
2024-07-02,Balangir,34.7,86,18.9,1002,8.5,59.2,Extreme Danger
2024-07-02,Baleshwar,32.1,86,18,1004,5,47.5,Danger
2024-07-02,Bargarh,31,82,15.1,1003,14.1,41.6,Extreme Caution
2024-07-02,Bhadrak,32.7,81,20.8,1002,0,47.5,Danger
2024-07-02,Boudh,27.6,89,16.1,1003,0,32.6,Normal
2024-07-02,Cuttack,30.1,91,17.4,1003,19.9,41.5,Extreme Caution
2024-07-02,Debagarh,32.1,90,16,1003,0,49.4,Danger
2024-07-02,Dhenkanal,28.7,87,18.6,1004,0,35.5,Caution
2024-07-02,Gajapati,32.2,88,19.5,1001,0,48.8,Danger
2024-07-02,Ganjam,29.4,91,20.3,1003,19.9,38.9,Caution
2024-07-02,Jagatsinghapur,29.5,92,19.1,1003,9.5,39.6,Caution
2024-07-02,Jajapur,31.3,78,20.9,1001,8.1,41.2,Extreme Caution
2024-07-02,Jharsuguda,32.3,82,15.2,1003,17.9,46.4,Danger
2024-07-02,Kalahandi,27.1,78,21.5,1004,42.3,29.8,Normal
2024-07-02,Kandhamal,25.9,86,15.7,1003,35.7,26.8,Normal
2024-07-02,Kendrapara,26.6,99,20.4,1003,40.9,27.9,Normal
2024-07-02,Kendujhar,28.3,88,21.4,1003,0,34.5,Normal
2024-07-02,Khordha,28.5,86,17.9,1001,5,34.6,Normal
